"";"ProbeNr";"Datum der Entnahme";"Uhrzeit der Entnahme";"Probe Valide";"Kläranlagen-ID";"Name der Kläranlage";"Probenbegleitschein vollständig";"Genkopien im Durchschnitt (Gq/ml)";"Genkopien N1/ml";"Genkopien N2/ml";"Anteil Genkopien Durchschnitt zu PMMoV x100.000";"Probennahme (Anfangs )Zeit";"Probennahme (End )Zeit";"Probennahmeart";"Probenvolumen (ml)";"Gesamt-Volumen (Liter) der Mischprobe vor Abfüllung (geschätzt)";"Temperatur des Rohabwassers (Grad Celsius)";"Leitfähigkeit des Rohabwassers (uS/cm)";"pH-Wert des Rohabwassers";"NH4-Konzentration";"Volumenstrom (m3/d)";"Niederschläge am Vortag der Probenentnahme (mm)";"Niederschläge am Probenentnahmetag (mm)";"Lufttemperatur am Probenentnahmetag (Grad Celsius)";"Chemischer Sauerstoffbedarf CSB (mg/l)";"Total Organic Carbon TOC (mg/l)"
"803";34997;2023-04-10;" 00:00:00";" ja";22425;" Germersheim";" nein";" 303";" 153";" 453";" 120";2023-04-10 00:00:00;2023-04-10 23:59:00;" MP";" NA";" NA";" NA";" NA";" NA";" NA";" NA";" NA";" NA";" NA";" NA";" NA"
"804";34998;2023-04-11;" 07:50:00";" ja";22439;" Mainz";" nein";" 740.5";" 554";" 927";" 88";2023-04-10 00:00:00;2023-04-10 23:59:00;" MP";" 1000";" 6";" 6";" 1810";" 7.7";" nicht messbar";" 39488";" nicht messbar";" NA";" 10";" 862";" NA"
"805";34999;2023-04-10;" 00:00:00";" ja";22459;" Zweibrücken";" ja";" 351.5";" 216";" 487";" 84.1";2023-04-10 00:00:00;2023-04-10 23:59:00;" MP";" 1000";" 8.6";" 10.8";" 1008";" 7.82";" 26.1";" 12443";" 0";" 1";" NA";" 505";" 204"
"806";35003;2023-04-11;" 07:00:00";" ja";22447;" Montabaur, GKA";" ja";" 116";" 62";" 170";" 64.8";2023-04-10 00:00:00;2023-04-10 23:59:00;" MP";" 1000";" 7";" 10";" 587";" 7.7";" 11.3";" 14560";" 0";" 5";" NA";" 133";" nicht messbar"
"807";35004;2023-04-11;" 00:00:00";" ja";19985;" Andernach";" ja";" 227.5";" 152";" 303";" 43.2";2023-04-10 08:00:00;2023-04-11 08:00:00;" MP";" 1000";" 9";" 13.4";" 1604";" 8";" nicht messbar";" 12873";" 0";" 2";" NA";" nicht messbar";" nicht messbar"
"808";35005;2023-04-11;" 07:30:00";" ja";20027;" Bad Kreuznach";" ja";" 298";" 159";" 437";" 71.8";2023-04-10 00:00:00;2023-04-11 00:00:00;" MP";" 1000";" 3.5";" 12.3";" 0.49";" 6.66";" 34.3";" 18220";" 0";" 3";" 11.9";" 509";" 139"
"809";35006;2023-04-11;" 00:00:00";" ja";22449;" Worms";" ja";" 451";" 283";" 619";" 52.9";2023-04-10 08:00:00;2023-04-11 08:00:00;" MP";" 1000";" 12";" 11.8";" 1592";" 7.6";" 11.8";" 26324";" 0";" 4";" NA";" 799";" nicht messbar"
"810";35026;2023-04-12;" 00:00:00";" ja";22425;" Germersheim";" ja";" 129";" 99";" 159";" 136";2023-04-12 00:00:00;2023-04-12 23:59:00;" MP";" 100";" 24";" 14";" 64.89";" 7.84";" 30.7";" 14658";" 3";" 8";" 9.6";" 275";" nicht messbar"
"811";35060;2023-04-12;" 00:00:00";" ja";22431;" Koblenz";" ja";" 108.5";" 88";" 129";" 154";2023-04-12 00:00:00;2023-04-12 23:59:00;" MP";" 1000";" 5";" 13.3";" 1100";" 8.3";" 37.1";" 36812";" 3";" 3";" 10.6";" 592";" 150"
"812";35061;2023-04-13;" 08:00:00";" ja";22386;" Pirmasens-Blümelstal";" ja";" 128";" 97";" 159";" 214";2023-04-12 00:00:00;2023-04-12 23:59:00;" MP";" 1000";" 12";" 10.3";" 400";" 7.6";" nicht messbar";" 26700";" nicht messbar";" 14";" nicht messbar";" nicht messbar";" nicht messbar"
"813";35062;2023-04-11;" 18:00:00";" ja";25315;" BASF Ludwigshafen";" nein";" 43.5";" 20";" 67";" 132";2023-04-11 18:00:00;2023-04-12 18:00:00;" MP";" 2000";" 20";" 22";" nicht messbar";" 7";" nicht messbar";" 292616";" nicht messbar";" NA";" nicht messbar";" nicht messbar";" 240"
"814";35064;2023-04-12;" 00:00:00";" ja";32373;" Neustadt";" ja";" 188";" 125";" 251";" 205";2023-04-12 00:00:00;2023-04-12 23:59:00;" MP";" 1000";" 12";" 11.5";" 599";" 9.4";" 26.8";" 26224";" 3";" 6";" 9.6";" 436";" nicht messbar"
"815";35065;2023-04-13;" 07:00:00";" ja";22447;" Montabaur, GKA";" ja";" 39.5";" 23";" 56";" 92.5";2023-04-12 00:00:00;2023-04-12 23:59:00;" MP";" 1000";" 12";" 10";" 380";" 7.52";" 5.31";" 24180";" 2";" 9";" NA";" 61.4";" nicht messbar"
"816";35066;2023-04-13;" 08:00:00";" ja";19985;" Andernach";" ja";" 39";" 30";" 48";" 87.8";2023-04-12 08:00:00;2023-04-13 08:00:00;" MP";" 1000";" 11";" 13.1";" 1357";" 8";" nicht messbar";" 17926";" 0";" 4";" NA";" nicht messbar";" nicht messbar"
"817";35067;2023-04-12;" 00:00:00";" ja";23128;" Speyer";" ja";" 153";" 102";" 204";" 215";2023-04-12 00:00:00;2023-04-12 23:59:00;" MP";" 1000";" 6";" 15";" 1034";" 7.46";" 33";" 24200";" nicht messbar";" 5";" nicht messbar";" 404";" nicht messbar"
"818";35068;2023-04-12;" 00:00:00";" ja";22459;" Zweibrücken";" ja";" 84";" 61";" 107";" 116";2023-04-12 00:00:00;2023-04-12 23:59:00;" MP";" 1000";" 16";" 10.3";" 407";" 7.84";" 9.78";" 33437";" 4";" 16";" NA";" 294";" 98.8"
"819";35069;2023-04-13;" 08:00:00";" ja";22448;" Trier";" nein";" 87.5";" 57";" 118";" 148";2023-04-12 08:00:00;2023-04-13 08:00:00;" MP";" 1000";" 5";" NA";" 399";" 7.3";" nicht messbar";" 43399";" nicht messbar";" nicht messbar";" nicht messbar";" nicht messbar";" nicht messbar"
"820";35070;2023-04-13;" 00:00:00";" ja";20027;" Bad Kreuznach";" ja";" 66";" 38";" 94";" 124";2023-04-12 00:00:00;2023-04-13 00:00:00;" MP";" 1000";" 4.5";" 13.2";" 103";" 6.9";" 10.7";" 30870";" 3";" 7";" NA";" 251";" 69.9"
"821";35071;2023-04-13;" 00:00:00";" ja";22438;" Landau";" ja";" 60";" 37";" 83";" 106";2023-04-12 08:00:00;2023-04-13 08:00:00;" MP";" 1000";" 1";" 12.2";" nicht messbar";" 7.4";" 46.4";" 42434";" 5";" 7";" NA";" 571";" nicht messbar"
"822";35072;2023-04-13;" 07:30:00";" ja";22439;" Mainz";" nein";" 122";" 88";" 156";" 190";2023-04-12 00:00:00;2023-04-12 23:59:00;" MP";" 1000";" 6";" 6";" 884";" 7.8";" nicht messbar";" 101466";" nicht messbar";" NA";" 8.6";" 394";" nicht messbar"
"823";35073;2023-04-13;" 00:00:00";" ja";22449;" Worms";" ja";" 98";" 81";" 115";" 121";2023-04-12 08:00:00;2023-04-13 08:00:00;" MP";" 1000";" 12";" 12.2";" 609";" 7.7";" 16.3";" 60609";" 10";" 0";" NA";" 403";" nicht messbar"
"824";35074;2023-04-13;" 00:00:00";" ja";22430;" Kaiserslautern";" ja";" 90";" 60";" 120";" 174";2023-04-12 00:00:00;2023-04-12 23:59:00;" MP";" 1000";" 5";" 12.4";" 671";" 7.47";" 11";" 129869";" 5";" 11";" NA";" 138";" 52.71"
"825";35081;2023-04-18;" 08:00:00";" ja";22448;" Trier";" nein";" 237";" 181";" 293";" 215";2023-04-17 08:00:00;2023-04-18 08:00:00;" MP";" 1000";" 5";" NA";" 868";" 7.5";" nicht messbar";" 33383";" nicht messbar";" nicht messbar";" nicht messbar";" nicht messbar";" nicht messbar"
"826";35082;2023-04-18;" 00:00:00";" ja";20027;" Bad Kreuznach";" ja";" 129.5";" 57";" 202";" 104";2023-04-17 00:00:00;2023-04-17 23:59:00;" MP";" 1000";" 4.5";" 14.8";" 1.08";" 6.74";" 32.1";" 20170";" 0";" 0";" NA";" 332";" 105"
"827";35083;2023-04-17;" 00:00:00";" ja";22425;" Germersheim";" ja";" 188";" 178";" 198";" 247";2023-04-17 00:00:00;2023-04-17 23:59:00;" MP";" 100";" 24";" 14.9";" 91.78";" 8.03";" 44.1";" 7457";" 1";" 0";" 9.5";" 390";" nicht messbar"
"828";35084;2023-04-18;" 08:45:00";" ja";22430;" Kaiserslautern";" ja";" 103";" 73";" 133";" 293";2023-04-17 00:00:00;2023-04-17 23:59:00;" MP";" 1000";" 5";" 12.6";" 813";" 7.72";" 14.95";" 62890";" 1";" 1";" NA";" 349";" 107.17"
"829";35085;2023-04-17;" 00:00:00";" ja";22431;" Koblenz";" ja";" 169";" 167";" 171";" 229";2023-04-17 00:00:00;2023-04-17 23:59:00;" MP";" 1000";" 5";" 14.1";" 1600";" 7.7";" 41.6";" 27076";" 0";" 0";" 11.6";" 887";" 236"
"830";35086;2023-04-17;" 08:00:00";" ja";22438;" Landau";" ja";" 148";" 117";" 179";" 243";2023-04-17 08:00:00;2023-04-18 08:00:00;" MP";" 1000";" 5";" 12.7";" nicht messbar";" 7.9";" 29.8";" 12628";" nicht messbar";" nicht messbar";" nicht messbar";" 693";" nicht messbar"
"831";35087;2023-04-18;" 07:30:00";" ja";22439;" Mainz";" nein";" 171";" 145";" 197";" 157";2023-04-17 00:00:00;2023-04-17 23:59:00;" MP";" 1000";" 6";" 6";" 1468";" 7.7";" nicht messbar";" NA";" NA";" NA";" NA";" 711";" NA"
"832";35088;2023-04-18;" 07:00:00";" ja";22447;" Montabaur, GKA";" ja";" 89.5";" 59";" 120";" 367";2023-04-17 00:00:00;2023-04-17 23:59:00;" MP";" 1000";" 7.2";" 10";" 578";" 7.69";" 12.5";" 15990";" 0";" 0";" NA";" 186";" nicht messbar"
"833";35089;2023-04-18;" 08:30:00";" ja";22386;" Pirmasens-Blümelstal";" ja";" 217";" 188";" 246";" 326";2023-04-17 00:00:00;2023-04-17 23:59:00;" MP";" 1000";" 12";" 11.3";" 820";" 7.5";" nicht messbar";" 7910";" nicht messbar";" 1";" nicht messbar";" nicht messbar";" nicht messbar"
"834";35090;2023-04-18;" 07:45:00";" ja";22387;" Pirmasens-Felsalbe";" ja";" 502";" 426";" 578";" 690";2023-04-17 00:00:00;2023-04-17 23:59:00;" MP";" 1000";" 7";" 10.6";" 680";" 7.7";" nicht messbar";" 4160";" 0";" 0";" 2";" nicht messbar";" nicht messbar"
"835";35091;2023-04-17;" 18:00:00";" ja";25315;" BASF Ludwigshafen";" ja";" 27.5";" 15";" 40";" 267";2023-04-17 18:00:00;2023-04-18 18:00:00;" MP";" 2000";" 20";" 23";" nicht messbar";" 7";" nicht messbar";" 261400";" nicht messbar";" 0";" nicht messbar";" nicht messbar";" 270"
"836";35092;2023-04-18;" 00:00:00";" ja";19985;" Andernach";" ja";" 98.5";" 61";" 136";" 120";2023-04-17 08:00:00;2023-04-18 08:00:00;" MP";" 1000";" 9";" 12.9";" 1804";" 8.2";" nicht messbar";" 8788";" 2";" 0";" NA";" nicht messbar";" nicht messbar"
"837";35093;2023-04-17;" 00:00:00";" ja";23128;" Speyer";" ja";" 338";" 238";" 438";" 511";2023-04-17 00:00:00;2023-04-17 23:59:00;" MP";" 1000";" 2";" 15.9";" 1711";" 7.54";" 57";" 11129";" nicht messbar";" 0";" nicht messbar";" 592";" nicht messbar"
"838";35094;2023-04-18;" 00:00:00";" ja";22449;" Worms";" ja";" 224";" 212";" 236";" 178";2023-04-17 08:00:00;2023-04-18 08:00:00;" MP";" 1000";" 12";" 13.2";" 1723";" 8";" 55.9";" 19997";" 0";" 0";" 13.8";" 770";" nicht messbar"
"839";35095;2023-04-17;" 00:00:00";" ja";32373;" Neustadt";" ja";" 223.5";" 157";" 290";" 207";2023-04-17 00:00:00;2023-04-17 23:59:00;" MP";" 1000";" 8";" 11.5";" 1193";" 9.5";" 107";" 9229";" 0";" 0";" 10.9";" 828";" nicht messbar"
"840";35096;2023-04-17;" 00:00:00";" ja";22459;" Zweibrücken";" ja";" 289.5";" 225";" 354";" 418";2023-04-17 00:00:00;2023-04-17 23:59:00;" MP";" 1000";" 9";" 11.1";" nicht messbar";" nicht messbar";" 23.3";" 14137";" 0";" 1";" NA";" 673";" 411"
"841";35169;2023-04-19;" 00:00:00";" ja";22425;" Germersheim";" ja";" 456";" 283";" 629";" 207";2023-04-19 00:00:00;2023-04-19 23:59:00;" MP";" 100";" 24";" 15.8";" 125.47";" 8.18";" 65.1";" 6618";" 0";" 0";" 10.4";" 546";" nicht messbar"
"842";35172;2023-04-20;" 07:00:00";" ja";22447;" Montabaur, GKA";" ja";" 318";" 229";" 407";" 201";2023-04-19 00:00:00;2023-04-19 23:59:00;" MP";" 1000";" 7.5";" 10";" 602";" 7.64";" 13.3";" 14220";" 0";" 0";" NA";" 491";" nicht messbar"
"843";35173;2023-04-19;" 18:00:00";" ja";25315;" BASF Ludwigshafen";" ja";" 88";" 39";" 137";" 303";2023-04-18 18:00:00;2023-04-19 18:00:00;" MP";" 2000";" 20";" 23";" nicht messbar";" 7";" nicht messbar";" 258425";" nicht messbar";" 0";" nicht messbar";" nicht messbar";" 265"
"844";35174;2023-04-19;" 00:00:00";" ja";32373;" Neustadt";" ja";" 824";" 438";" 1210";" 493";2023-04-19 00:00:00;2023-04-19 23:59:00;" MP";" 1000";" 8";" 7.1";" 1192";" 9.4";" nicht messbar";" 9074";" 0";" 0";" 11.2";" 1013";" nicht messbar"
"845";35179;2023-04-20;" 08:00:00";" ja";22448;" Trier";" nein";" 515";" 319";" 711";" 175";2023-04-19 08:00:00;2023-04-20 08:00:00;" MP";" 1000";" 5";" NA";" nicht messbar";" nicht messbar";" nicht messbar";" 23687";" nicht messbar";" nicht messbar";" nicht messbar";" nicht messbar";" nicht messbar"
"846";35180;2023-04-20;" 07:30:00";" ja";20027;" Bad Kreuznach";" nein";" 615.5";" 319";" 912";" 284";2023-04-19 00:00:00;2023-04-19 23:59:00;" MP";" 1000";" 3.5";" 14.1";" 1.16";" 6.86";" 31.6";" 19490";" nicht messbar";" NA";" 6.5";" 577";" 123"
"847";35181;2023-04-20;" 08:20:00";" ja";22430;" Kaiserslautern";" ja";" 313";" 214";" 412";" 304";2023-04-19 00:00:00;2023-04-19 23:59:00;" MP";" 1000";" 5";" 12.4";" 786";" 7.49";" 21.2";" 55267";" 0";" 0";" NA";" 404";" 115.31"
"848";35182;2023-04-20;" 00:00:00";" ja";22431;" Koblenz";" ja";" 396";" 306";" 486";" 168";2023-04-19 00:00:00;2023-04-19 23:59:00;" MP";" 1000";" 5";" 14";" 1500";" 7.2";" 44.7";" 26488";" 0";" 0";" 12.7";" 731";" 197"
"849";35183;2023-04-20;" 07:40:00";" ja";22439;" Mainz";" nein";" 653";" 481";" 825";" 228";2023-04-19 00:00:00;2023-04-19 23:59:00;" MP";" 1000";" 6";" 6";" 1798";" 7.8";" nicht messbar";" 43661";" nicht messbar";" NA";" 11";" 897";" 282"
"850";35184;2023-04-20;" 00:00:00";" ja";19985;" Andernach";" ja";" 431.5";" 278";" 585";" 139";2023-04-19 08:00:00;2023-04-20 08:00:00;" MP";" 1000";" 9";" 13.3";" 1931";" 8.1";" nicht messbar";" 9063";" 0";" 0";" NA";" nicht messbar";" nicht messbar"
"851";35185;2023-04-20;" 00:00:00";" ja";22449;" Worms";" ja";" 873.5";" 607";" 1140";" 262";2023-04-19 08:00:00;2023-04-20 08:00:00;" MP";" 1000";" 12";" 13.8";" 1890";" 8";" 59.1";" 20755";" 0";" 0";" NA";" 888";" nicht messbar"
"852";35186;2023-04-19;" 08:00:00";" ja";22438;" Landau";" ja";" 618.5";" 325";" 912";" 201";2023-04-19 08:00:00;2023-04-20 08:00:00;" MP";" 1000";" 5";" 13.8";" nicht messbar";" 8.4";" 42.7";" 11907";" nicht messbar";" nicht messbar";" 9.8";" 515";" nicht messbar"
"853";35187;2023-04-20;" 08:30:00";" ja";22386;" Pirmasens-Blümelstal";" ja";" 406";" 298";" 514";" 190";2023-04-19 00:00:00;2023-04-19 23:59:00;" MP";" 1000";" 12";" 11.4";" 830";" 7.5";" nicht messbar";" 6920";" nicht messbar";" 0";" nicht messbar";" nicht messbar";" nicht messbar"
"854";35188;2023-04-20;" 00:00:00";" ja";22387;" Pirmasens-Felsalbe";" ja";" 701.5";" 414";" 989";" 656";2023-04-19 00:00:00;2023-04-19 23:59:00;" MP";" 1000";" 7";" 10.5";" 702";" 7.8";" nicht messbar";" 3740";" 0";" 0";" 4";" nicht messbar";" nicht messbar"
"855";35189;2023-04-20;" 00:00:00";" ja";23128;" Speyer";" ja";" 944.5";" 709";" 1180";" 316";2023-04-19 00:00:00;2023-04-19 23:59:00;" MP";" 1000";" 2";" 16.2";" 2265";" 7.43";" 71";" 10991";" nicht messbar";" 0";" nicht messbar";" 615";" nicht messbar"
"856";35190;2023-04-20;" 00:00:00";" ja";22459;" Zweibrücken";" ja";" 1294";" 758";" 1830";" 715";2023-04-19 00:00:00;2023-04-19 23:59:00;" MP";" 1000";" 7.5";" 11.3";" 993";" 7.89";" 30.9";" 12080";" 0";" 0";" NA";" 499";" 214"
"857";35358;2023-04-25;" 15:00:00";" ja";20027;" Bad Kreuznach";" ja";" 298";" 111";" 485";" 145";2023-04-24 00:00:00;2023-04-24 23:59:00;" MP";" 1000";" 4.5";" 13.2";" 0.73";" 6.5";" 26.7";" 28110";" 1";" 6";" NA";" 262";" 107"
"858";35365;2023-04-25;" 10:45:00";" ja";22448;" Trier";" nein";" 64";" 10";" 118";" 69.7";2023-04-24 08:00:00;2023-04-25 08:00:00;" MP";" 1000";" 5";" NA";" 601";" 7.31";" nicht messbar";" 40079";" nicht messbar";" nicht messbar";" nicht messbar";" nicht messbar";" nicht messbar"
"859";35399;2023-04-24;" 00:00:00";" ja";22425;" Germersheim";" ja";" 178";" 102";" 254";" 179";2023-04-24 00:00:00;2023-04-24 23:59:00;" MP";" 100";" 24";" 15.5";" 64.89";" 8.15";" 28.3";" 13402";" 7";" 4";" 10.6";" 431";" nicht messbar"
"860";35400;2023-04-25;" 07:00:00";" ja";22447;" Montabaur, GKA";" ja";" 104";" 28";" 180";" 169";2023-04-24 00:00:00;2023-04-24 23:59:00;" MP";" 1000";" 10";" 10.5";" 488";" 7.58";" 10.2";" 20220";" 3";" 7";" NA";" 207";" nicht messbar"
"861";35401;2023-04-25;" 08:00:00";" ja";22386;" Pirmasens-Blümelstal";" ja";" 106.5";" 75";" 138";" 296";2023-04-24 00:00:00;2023-04-24 23:59:00;" MP";" 1000";" 12";" 11.4";" 454";" 7.7";" nicht messbar";" 22920";" nicht messbar";" 7";" nicht messbar";" nicht messbar";" nicht messbar"
"862";35403;2023-04-24;" 00:00:00";" ja";23128;" Speyer";" ja";" 393.5";" 213";" 574";" 154";2023-04-24 00:00:00;2023-04-24 23:59:00;" MP";" 1000";" 3";" 16.1";" 1499";" 7.5";" 46.4";" 16696";" nicht messbar";" 2";" nicht messbar";" 491";" nicht messbar"
"863";35404;2023-04-24;" 00:00:00";" ja";32373;" Neustadt";" ja";" 403.5";" 227";" 580";" 152";2023-04-24 00:00:00;2023-04-24 23:59:00;" MP";" 1000";" 7.5";" 13.5";" 915";" 9.4";" 49.2";" 12572";" 0";" 2";" 10.7";" 801";" nicht messbar"
"864";35405;2023-04-25;" 07:45:00";" ja";22439;" Mainz";" nein";" 335.5";" 222";" 449";" 297";2023-04-24 00:00:00;2023-04-24 23:59:00;" MP";" 1000";" 6";" 6";" 1540";" 7.7";" nicht messbar";" 48806";" nicht messbar";" NA";" 10.3";" 714";" 241"
"865";35406;2023-04-25;" 07:45:00";" ja";22387;" Pirmasens-Felsalbe";" ja";" 91";" 58";" 124";" 200";2023-04-24 00:00:00;2023-04-24 23:59:00;" MP";" 1000";" 9";" 11";" 615";" 7.9";" nicht messbar";" 8810";" 6";" 0";" 5";" nicht messbar";" nicht messbar"
"866";35407;2023-04-25;" 08:00:00";" ja";19985;" Andernach";" ja";" 153.5";" 93";" 214";" 69.1";2023-04-24 08:00:00;2023-04-25 08:00:00;" MP";" 1000";" 9";" 13.6";" 1694";" 8.2";" nicht messbar";" 10960";" 2";" 1";" NA";" nicht messbar";" nicht messbar"
"867";35408;2023-04-25;" 00:00:00";" ja";22449;" Worms";" ja";" 194";" 122";" 266";" 71.3";2023-04-24 08:00:00;2023-04-25 08:00:00;" MP";" 1000";" 12";" 13.5";" 1432";" 7.84";" 44.4";" 25836";" 4";" 1";" NA";" 950";" nicht messbar"
"868";35409;2023-04-24;" 00:00:00";" ja";22459;" Zweibrücken";" nein";" 214";" 121";" 307";" 304";2023-04-24 00:00:00;2023-04-24 23:59:00;" MP";" 1000";" 11";" 11.3";" 838";" 7.55";" 22.2";" NA";" NA";" NA";" NA";" 572";" 198"
"869";35410;2023-04-25;" 00:00:00";" ja";22430;" Kaiserslautern";" nein";" 155";" 84";" 226";" 192";2023-04-24 00:00:00;2023-04-24 23:59:00;" MP";" 1000";" 5";" 12.3";" 628";" 7.74";" 21.5";" NA";" NA";" NA";" NA";" 342";" 94.37"
"870";35420;2023-04-26;" 00:00:00";" ja";22425;" Germersheim";" ja";" 565";" 315";" 815";" 277";2023-04-26 00:00:00;2023-04-26 23:59:00;" MP";" 100";" 24";" 15.9";" 104.74";" 8.12";" 37.9";" 6506";" 0";" 0";" 9.1";" 447";" nicht messbar"
"871";35428;2023-04-25;" 08:00:00";" ja";22438;" Landau";" nein";" 229";" 110";" 348";" 465";2023-05-24 08:00:00;2023-05-25 08:00:00;" NA";" 1000";" 5";" 12.2";" nicht messbar";" 7.2";" 44.6";" 17634";" 3";" nicht messbar";" 9";" 561";" nicht messbar"
"872";35429;2023-04-27;" 08:00:00";" ja";22386;" Pirmasens-Blümelstal";" ja";" 331.5";" 212";" 451";" 299";2023-04-26 00:00:00;2023-04-26 23:59:00;" MP";" 1000";" 12";" 11.6";" 760";" 7.6";" nicht messbar";" 15008";" 6";" 0";" 7";" nicht messbar";" nicht messbar"
"873";35430;2023-04-27;" 07:45:00";" ja";22387;" Pirmasens-Felsalbe";" ja";" 655.5";" 281";" 1030";" 475";2023-04-26 00:00:00;2023-04-26 23:59:00;" MP";" 1000";" 8";" 11";" 713";" 7.9";" nicht messbar";" 6600";" 0";" 0";" 4";" nicht messbar";" nicht messbar"
"874";35431;2023-04-26;" 18:00:00";" ja";25315;" BASF Ludwigshafen";" ja";" 0";" 0";" 0";" 0";2023-04-25 18:00:00;2023-04-26 18:00:00;" MP";" 2000";" 20";" 23";" nicht messbar";" 7";" nicht messbar";" 262300";" nicht messbar";" nicht messbar";" nicht messbar";" nicht messbar";" 260"
"875";35432;2023-04-26;" 00:00:00";" ja";23128;" Speyer";" ja";" 767";" 715";" 819";" 295";2023-04-26 00:00:00;2023-04-26 23:59:00;" MP";" 1000";" 3";" 16.3";" 1891";" 7.41";" 57.9";" 12513";" nicht messbar";" 0";" nicht messbar";" 584";" nicht messbar"
"876";35433;2023-04-26;" 00:00:00";" ja";32373;" Neustadt";" ja";" 1156.5";" 813";" 1500";" 466";2023-04-26 00:00:00;2023-04-26 23:59:00;" MP";" 1000";" 7.5";" 13.8";" 1141";" 9.4";" 59.7";" 9384";" 1";" 0";" 8.2";" 748";" nicht messbar"
"877";35436;2023-04-26;" 00:00:00";" ja";22431;" Koblenz";" ja";" 585.5";" 454";" 717";" 398";2023-04-26 00:00:00;2023-04-26 23:59:00;" MP";" 1000";" 5";" 14";" 1500";" 7.8";" 47.9";" 24080";" 0";" 0";" 8.1";" 1041";" 255"
"878";35437;2023-04-27;" 07:45:00";" ja";22439;" Mainz";" nein";" 665.5";" 476";" 855";" 497";2023-04-26 00:00:00;2023-04-26 23:59:00;" MP";" 1000";" 6";" 6";" 1830";" 7.6";" nicht messbar";" 44275";" nicht messbar";" NA";" 7.7";" 781";" 245"
"879";35438;2023-04-27;" 00:00:00";" ja";19985;" Andernach";" ja";" 402";" 252";" 552";" 188";2023-04-26 08:00:00;2023-04-27 08:00:00;" MP";" 1000";" 8";" 13.8";" 1957";" 8.2";" nicht messbar";" 8701";" 0";" 0";" NA";" nicht messbar";" nicht messbar"
"880";35439;2023-04-26;" 00:00:00";" ja";22459;" Zweibrücken";" ja";" 528";" 358";" 698";" 97.1";2023-04-26 00:00:00;2023-04-26 23:59:00;" MP";" 1000";" 8";" 11.2";" 886";" 7.88";" 27.1";" 13492";" 7";" 0";" NA";" 437";" 181"
"881";35440;2023-04-26;" 00:00:00";" ja";22449;" Worms";" ja";" 893";" 676";" 1110";" 316";2023-04-26 00:00:00;2023-04-26 23:59:00;" MP";" 1000";" 12";" 14.1";" 1554";" 8";" 53.3";" 20278";" 1";" 0";" NA";" 891";" nicht messbar"
"882";35459;2023-04-27;" 08:00:00";" ja";22448;" Trier";" nein";" 446";" 334";" 558";" 360";2023-04-26 08:00:00;2023-04-27 08:00:00;" MP";" 1000";" 5";" NA";" 1021";" 7.6";" nicht messbar";" 24255";" nicht messbar";" nicht messbar";" nicht messbar";" nicht messbar";" nicht messbar"
"883";35460;2023-04-27;" 07:00:00";" ja";22447;" Montabaur, GKA";" ja";" 310";" 149";" 471";" 263";2023-04-26 00:00:00;2023-04-26 23:59:00;" MP";" 1000";" 7";" 10";" 784";" 7.82";" 17.8";" 14260";" 0";" 0";" NA";" 336";" nicht messbar"
"884";35461;2023-04-27;" 00:00:00";" ja";20027;" Bad Kreuznach";" ja";" 481.5";" 234";" 729";" 1291";2023-04-26 00:00:00;2023-04-26 23:59:00;" MP";" 1000";" 4";" 15.7";" 1.44";" 7.32";" 26.7";" 18850";" 1";" 0";" NA";" 475";" 120"
"885";35462;2023-04-27;" 00:00:00";" ja";22430;" Kaiserslautern";" nein";" 209";" 115";" 303";" 455";NA;NA;" NA";" NA";" NA";" NA";" NA";" NA";" NA";" NA";" NA";" NA";" NA";" NA";" NA"
"886";35463;2023-04-27;" 08:00:00";" ja";22438;" Landau";" ja";" 368.5";" 216";" 521";" 465";2023-04-26 08:00:00;2023-04-27 08:00:00;" MP";" 1000";" 5";" 13.4";" nicht messbar";" 8.4";" 26.7";" 15667";" 9";" 0";" 13.1";" 378";" nicht messbar"
"887";35623;2023-05-01;" 00:00:00";" ja";22425;" Germersheim";" ja";" 267";" 217";" 317";" 100";2023-05-01 00:00:00;2023-05-01 23:59:00;" MP";" 100";" 24";" 16.3";" 113.78";" 7.82";" 45.5";" 6178";" 0";" 0";" 13.4";" 603";" nicht messbar"
"888";35624;2023-05-01;" 18:00:00";" ja";25315;" BASF Ludwigshafen";" ja";" 0";" 0";" 0";" 0";2023-04-30 18:00:00;2023-05-01 18:00:00;" MP";" 2000";" 20";" 23";" nicht messbar";" 7";" nicht messbar";" 252720";" nicht messbar";" nicht messbar";" nicht messbar";" nicht messbar";" 215"
"889";35632;2023-05-02;" 07:00:00";" ja";22447;" Montabaur, GKA";" ja";" 57.5";" 30";" 85";" 30.3";2023-05-01 00:00:00;2023-05-01 23:59:00;" MP";" 1000";" 5.2";" 11";" 641";" 7.69";" 19.7";" 108810";" 0";" 0";" NA";" 257";" nicht messbar"
"890";35633;2023-05-01;" 00:00:00";" ja";32373;" Neustadt";" ja";" 390.5";" 292";" 489";" 132";2023-05-01 00:00:00;2023-05-01 23:59:00;" MP";" 1000";" 6.5";" 8.2";" 1213";" 9.5";" 62.4";" 9070";" 0";" 0";" 13.2";" 821";" nicht messbar"
